OKUL ADI;ADRES;TELEFON;FAX;WEB ADRES;KURUM TUR ADI
GAZİ MUSTAFA PAŞA İMAM HATİP ORTAOKULU;Akfırat Mah. 2. Cad. No: 21 İç Kapı No: 1 Tuzla / İstanbul;(0216) 439 10 26;0;tuzlagazimustafapasaimamhatiport.meb.k12.tr;İmam Hatip Ortaokulu
GAZİ MUSTAFA PAŞA ORTAOKULU;Akfırat Mah. 2. Cad. No: 21 İç Kapı No: 1 Tuzla / İstanbul;(216) 439 10 26;0;tuzlagazimustafapasaortaokulu.meb.k12.tr;Ortaokul
GİSBİR ORTAOKULU;Aydınlı Mah. Firuz Sk. No: 13 İç Kapı No: 1 Tuzla / İstanbul; (0216) 446 06 80;0;gisbirortaokulu.meb.k12.tr;Ortaokul
HACIOĞULLARI HİLMİ SONAY ANAOKULU;İstasyon Mah. Hatboyu Cad. Hacıoğulları Hılmı Sonay Ilkokulu Blok No: 59 İç Kapı No: 1 Tuzla / İstanbul;(0216) 447 00 41;0;770082.meb.k12.tr;Anaokulu
HACIOĞULLARI HİLMİ SONAY İLKOKULU;İstasyon Mah. Hatboyu Cad. Hacıoğulları Hilmi Sonay İl Blok No: 59 İç Kapı No: 1 Tuzla / İstanbul;(216) 447 00 41;(216) 395 12 51;hhsonayilk.meb.k12.tr;İlkokul
HALİL TÜRKKAN İMAM HATİP ORTAOKULU;Aydınlı Mah. Aydınlı Yolu Cadde No:115 Pk:34953 Tuzla/İstanbul;(216) 493 36 43;(216) 392 39 00;halilturkkaniho.meb.k12.tr;İmam Hatip Ortaokulu
İBNİ SİNA ORTAOKULU;Evliya Çelebi Mah. Gündoğdu Sk. No: 3 Tuzla / İstanbul;(216) 395 38 00;(216) 395 82 62;tuzlaibnisina.meb.k12.tr;Ortaokul
İHSAN - HAYRİYE HÜRDOĞAN ANAOKULU;Aydınlı Mah. Yankı Sk. Ihsan Hayrıye Hürdoğan Ilkokulu Blok No: 3 Tuzla / İstanbul;0;0;770083.meb.k12.tr;Anaokulu
İHSAN - HAYRİYE HÜRDOĞAN İLKOKULU;Aydınlı Mah. Yankı Sk. İhsan Hayriye Hürdoğan İ.Ö.O Blok No: 3 Tuzla / İstanbul;(216) 393 27 42;(216) 393 32 55;tuzlaihhurdogan.meb.k12.tr;İlkokul
İLÇE MİLLİ EĞİTİM MÜDÜRLÜĞÜ;Postane Mah. Mühendis Sk. No: 19 İç Kapı No: 1 Tuzla / İstanbul;(216) 395 79 58;(216) 395 79 33;tuzla.meb.gov.tr/;İlçe Milli Eğitim Müdürlüğü
İTOSB MESLEKİ VE TEKNİK ANADOLU LİSESİ;Tepeoren İtosb Mah. Recep Bilal Hancı Cadde No:2 Pk:34944 Tuzla/İstanbul;(216) 593 44 66;(216) 593 35 84;itosbtem.meb.k12.tr;Anadolu Meslek Programı
İTÜ MİNİK DENİZCİLER ANAOKULU;Postane Mah. Manastır Yolu Cad. Itü Denızcılık Fakültesı Blok No: 1/11 İç Kapı No: 1 Tuzla / İstanbul;(216) 701 27 00;0;ituminikdenizcileranaokulu.meb.k12.tr;Anaokulu
KAŞİF KALKAVAN ÇOK PROGRAMLI ANADOLU LİSESİ;Aydınlı Mah. Aydınlık Cadde No:47 Pk:34953 Tuzla/İstanbul;(216) 673 35 67;(216) 673 35 68;kasifkalkavan.meb.k12.tr;Çok Programlı Anadolu Lisesi
MEHMET TEKİNALP ANADOLU LİSESİ;Yayla Mah. Subaşı Sokak No:9 Tuzla/İstanbul;(216) 582 02 83;(216) 582 03 60;mtal.meb.k12.tr;Anadolu Lisesi
MEHMETÇİK ANAOKULU;İstasyon Mah. Hatboyu Cad. Piyade Okul Komutanlığı Sitesi Kreş Blok No: 198-25 İç Kapı No: 1 Tuzla / İstanbul;(216) 446 90 66;0;mehmetcikanaokulu.meb.k12.tr;Anaokulu
MEVLANA İLKOKULU;Orta Mah. Erkılıç Sk. Mevlana İlköğretim Okulu Sitesi No: 41 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 02 69;(216) 304 02 68;tuzlamevlanaio.meb.k12.tr;İlkokul
MEVLANA İMAM HATİP ORTAOKULU;Orta Mah. Erkılıç Sk. Mevlana İlköğretim Okulu Sitesi No: 41 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 02 69;(216) 304 02 68;tuzlamevlanaiho.meb.k12.tr;İmam Hatip Ortaokulu
MİMAR SİNAN İLKOKULU;Mimar Sinan Mah. Altay Sk. Mimar Sinan İlk Ö. O. Blok No: 15 Tuzla / İstanbul;(216) 423 36 83;(216) 423 53 94;tuzlamimarsinan.meb.k12.tr;İlkokul
MİMAR SİNAN TUZLA ANAOKULU;Mimar Sinan Mah. Altay Sk. Mımar Sınan Ilkokulu Blok No: 15 Tuzla / İstanbul;(216) 423 36 84;(216) 423 53 95;770085.meb.k12.tr;Anaokulu
MUZAFFERDA-GÜZİDE PULUR İMAM HATİP ORTAOKULU;Şifa Mah. Çömlek Sk. - Sitesi - Blok No: 1/1 İç Kapı No: 1 Tuzla / İstanbul;(216) 423 58 08;(216) 423 58 00;muzafferdaguzidepulur.meb.k12.tr;İmam Hatip Ortaokulu
